<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180317,010000,57.4942000,57.4942000,57.4942000,57.4942000,0
20180320,010000,57.5521000,57.5521000,57.5521000,57.5521000,0
20180321,010000,57.7033000,57.7033000,57.7033000,57.7033000,0
20180322,010000,57.4954000,57.4954000,57.4954000,57.4954000,0
20180323,010000,56.8391000,56.8391000,56.8391000,56.8391000,0
20180324,010000,57.1072000,57.1072000,57.1072000,57.1072000,0
20180327,010000,57.0039000,57.0039000,57.0039000,57.0039000,0
20180328,010000,57.1747000,57.1747000,57.1747000,57.1747000,0
20180329,010000,57.5598000,57.5598000,57.5598000,57.5598000,0
20180330,010000,57.7626000,57.7626000,57.7626000,57.7626000,0
20180331,010000,57.2649000,57.2649000,57.2649000,57.2649000,0
20180403,010000,57.2850000,57.2850000,57.2850000,57.2850000,0
20180404,010000,57.5375000,57.5375000,57.5375000,57.5375000,0
20180405,010000,57.7646000,57.7646000,57.7646000,57.7646000,0
20180406,010000,57.5796000,57.5796000,57.5796000,57.5796000,0
20180407,010000,57.8332000,57.8332000,57.8332000,57.8332000,0
20180410,010000,58.5714000,58.5714000,58.5714000,58.5714000,0
20180411,010000,62.3699000,62.3699000,62.3699000,62.3699000,0
20180412,010000,64.0626000,64.0626000,64.0626000,64.0626000,0
20180413,010000,62.0659000,62.0659000,62.0659000,62.0659000,0
20180414,010000,61.4311000,61.4311000,61.4311000,61.4311000,0
20180417,010000,62.2794000,62.2794000,62.2794000,62.2794000,0
20180418,010000,61.1454000,61.1454000,61.1454000,61.1454000,0
20180419,010000,61.5539000,61.5539000,61.5539000,61.5539000,0
20180420,010000,60.8583000,60.8583000,60.8583000,60.8583000,0
20180421,010000,61.3222000,61.3222000,61.3222000,61.3222000,0
20180424,010000,61.7655000,61.7655000,61.7655000,61.7655000,0
20180425,010000,61.6644000,61.6644000,61.6644000,61.6644000,0
20180426,010000,61.7494000,61.7494000,61.7494000,61.7494000,0
20180427,010000,62.6027000,62.6027000,62.6027000,62.6027000,0
20180428,010000,62.7260000,62.7260000,62.7260000,62.7260000,0
20180429,010000,61.9997000,61.9997000,61.9997000,61.9997000,0
20180504,010000,63.4860000,63.4860000,63.4860000,63.4860000,0
20180505,010000,63.2012000,63.2012000,63.2012000,63.2012000,0
20180508,010000,62.7148000,62.7148000,62.7148000,62.7148000,0
20180509,010000,63.0066000,63.0066000,63.0066000,63.0066000,0
20180511,010000,62.5229000,62.5229000,62.5229000,62.5229000,0
20180512,010000,61.7354000,61.7354000,61.7354000,61.7354000,0
20180515,010000,61.7684000,61.7684000,61.7684000,61.7684000,0
20180516,010000,61.9164000,61.9164000,61.9164000,61.9164000,0
20180517,010000,62.3033000,62.3033000,62.3033000,62.3033000,0
20180518,010000,61.8215000,61.8215000,61.8215000,61.8215000,0
20180519,010000,61.9408000,61.9408000,61.9408000,61.9408000,0
20180522,010000,62.5327000,62.5327000,62.5327000,62.5327000,0
20180523,010000,61.2610000,61.2610000,61.2610000,61.2610000,0
20180524,010000,61.5945000,61.5945000,61.5945000,61.5945000,0
20180525,010000,61.4090000,61.4090000,61.4090000,61.4090000,0
